5.1895 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
62.7079 	EXP 	grating: autoDraw = False
62.7079 	EXP 	grating: ori = -4.0
62.7079 	EXP 	fixation: autoDraw = True
63.7085 	EXP 	fixation: autoDraw = False
63.7085 	EXP 	grating: autoDraw = True
64.0083 	EXP 	grating: autoDraw = False
64.0775 	DATA 	Keypress: down
64.0961 	EXP 	New trial (rep=26, index=0): None
64.1084 	EXP 	fixation: autoDraw = False
64.1084 	EXP 	grating: autoDraw = False
64.1084 	EXP 	grating: ori = 3.0
64.1084 	EXP 	fixation: autoDraw = True
65.1089 	EXP 	fixation: autoDraw = False
65.1089 	EXP 	grating: autoDraw = True
65.4088 	EXP 	grating: autoDraw = False
65.7632 	EXP 	New trial (rep=27, index=0): None
65.7656 	DATA 	Keypress: down
65.7755 	EXP 	fixation: autoDraw = False
65.7755 	EXP 	grating: autoDraw = False
65.7755 	EXP 	grating: ori = -5.0
65.7755 	EXP 	fixation: autoDraw = True
66.7763 	EXP 	fixation: autoDraw = False
66.7763 	EXP 	grating: autoDraw = True
67.0762 	EXP 	grating: autoDraw = False
67.2785 	EXP 	New trial (rep=28, index=0): None
67.2800 	DATA 	Keypress: down
67.2928 	EXP 	fixation: autoDraw = False
67.2928 	EXP 	grating: autoDraw = False
67.2928 	EXP 	grating: ori = 0.0
67.2928 	EXP 	fixation: autoDraw = True
68.2935 	EXP 	fixation: autoDraw = False
68.2935 	EXP 	grating: autoDraw = True
68.5933 	EXP 	grating: autoDraw = False
68.6958 	EXP 	New trial (rep=29, index=0): None
68.6974 	DATA 	Keypress: down
68.7101 	EXP 	fixation: autoDraw = False
68.7101 	EXP 	grating: autoDraw = False
68.7101 	EXP 	grating: ori = -4.0
68.7101 	EXP 	fixation: autoDraw = True
69.7106 	EXP 	fixation: autoDraw = False
69.7106 	EXP 	grating: autoDraw = True
70.0107 	EXP 	grating: autoDraw = False
70.2631 	EXP 	New trial (rep=30, index=0): None
70.2646 	DATA 	Keypress: up
70.2774 	EXP 	fixation: autoDraw = False
70.2774 	EXP 	grating: autoDraw = False
70.2774 	EXP 	grating: ori = 1.0
70.2774 	EXP 	fixation: autoDraw = True
71.2780 	EXP 	fixation: autoDraw = False
71.2780 	EXP 	grating: autoDraw = True
71.5777 	EXP 	grating: autoDraw = False
72.0818 	EXP 	New trial (rep=31, index=0): None
72.0836 	DATA 	Keypress: up
72.0948 	EXP 	fixation: autoDraw = False
72.0948 	EXP 	grating: autoDraw = False
72.0948 	EXP 	grating: ori = -4.0
72.0948 	EXP 	fixation: autoDraw = True
73.0954 	EXP 	fixation: autoDraw = False
73.0954 	EXP 	grating: autoDraw = True
73.3953 	EXP 	grating: autoDraw = False
73.6141 	EXP 	New trial (rep=32, index=0): None
73.6156 	DATA 	Keypress: down
73.6287 	EXP 	fixation: autoDraw = False
73.6287 	EXP 	grating: autoDraw = False
73.6287 	EXP 	grating: ori = 4.0
73.6287 	EXP 	fixation: autoDraw = True
74.6292 	EXP 	fixation: autoDraw = False
74.6292 	EXP 	grating: autoDraw = True
